id,numero,area_id,tipo_cama_id,urgencias,estatus_id,created_at,updated_at
1,GO-01,1,1,0,1,,"2026-04-30 10:42:10"
2,GO-02,1,1,0,1,,"2025-11-21 14:15:48"
3,GO-03,1,1,0,1,,"2025-10-29 11:02:50"
4,GO-04,1,1,0,1,,
5,GO-05,1,1,0,1,,
6,GO-06,1,1,0,1,,"2025-12-02 13:10:03"
7,GO-07,1,1,0,1,,
8,GO-08,1,1,0,1,,
9,GO-09,1,1,0,1,,"2025-12-02 13:10:17"
10,GO-10,1,1,0,1,,
11,GO-11,1,1,0,1,,
12,GO-12,1,1,0,1,,"2025-11-21 15:04:38"
13,GO-13,1,1,0,1,,
14,GO-14,1,1,0,1,,
15,GO-15,1,1,0,1,,
16,GO-16,1,1,0,1,,
17,GO-17,1,1,0,1,,
18,GO-18,1,1,0,1,,
19,GO-19,1,1,0,1,,
20,GO-20,1,1,0,1,,
21,GO-21,1,1,0,1,,
22,GO-22,1,1,0,1,,
23,GO-23,1,1,0,1,,
24,GO-24,1,1,0,1,,
25,GO-25,1,1,0,1,,
26,GO-26,1,1,0,1,,
27,GO-27,1,1,0,1,,
28,GO-28,1,1,0,1,,
29,GO-29,1,1,0,1,,
30,GO-30,1,1,0,1,,
31,GO-31,1,1,0,1,,
32,GO-32,1,1,0,1,,
33,AGO-01,1,1,0,1,,
34,AGO-02,1,1,0,1,,
35,AGO-03,1,1,0,1,,
36,AGO-04,1,1,0,1,,
37,HP-01,2,1,0,1,,"2026-04-30 10:01:16"
38,HP-02,2,1,0,1,,"2026-04-30 10:00:45"
39,HP-03,2,1,0,1,,"2026-04-11 18:13:30"
40,HP-04,2,1,0,1,,"2026-04-30 10:06:52"
41,HP-05,2,1,0,1,,"2026-04-03 04:41:06"
42,HP-06,2,1,0,1,,"2026-04-22 12:32:49"
43,HP-07,2,1,0,1,,"2026-03-30 16:38:55"
44,HP-08,2,1,0,1,,"2026-04-30 10:43:14"
45,HP-Lactantes-01,2,1,0,1,,"2026-04-06 22:36:08"
46,HP-Lactantes-02,2,1,0,1,,"2026-03-11 18:30:44"
47,HP-Lactantes-03,2,1,0,1,,"2026-03-09 05:51:40"
48,HP-Lactantes-04,2,1,0,1,,"2026-02-02 21:02:56"
49,HP-Preescolares-05,2,1,0,1,,
50,HP-Preescolares-06,2,1,0,1,,
51,HP-Preescolares-07,2,1,0,1,,
52,HP-Preescolares-08,2,1,0,1,,"2026-02-04 17:16:51"
53,AHP-01,2,1,0,1,,"2026-04-06 20:37:30"
54,AHP-02,2,1,0,1,,"2026-03-21 18:33:25"
55,HP-A-Preescolar,2,1,0,1,,
56,HP-A-Patologico,2,1,0,1,,"2026-02-15 17:36:29"
57,HC-01,3,1,0,1,,"2026-04-30 09:41:41"
58,HC-02,3,1,0,2,,"2026-04-12 15:17:30"
59,HC-03,3,1,0,2,,"2026-04-11 19:02:38"
60,HC-04,3,1,0,2,,"2026-04-12 02:37:32"
61,HC-05,3,1,0,1,,"2026-04-12 18:00:22"
62,HC-06,3,1,0,1,,"2026-03-26 17:00:44"
63,HC-07,3,1,0,1,,"2026-04-30 10:38:00"
64,HC-08,3,1,0,1,,"2026-04-30 10:03:52"
65,HC-09,3,1,0,2,,"2026-04-06 18:20:46"
66,HC-10,3,1,0,2,,"2026-04-08 02:21:43"
67,HC-11,3,1,0,1,,"2026-04-30 09:40:28"
68,HC-12,3,1,0,2,,"2026-04-10 01:47:49"
69,HC-13,3,1,0,2,,"2026-04-11 19:02:06"
70,HC-14,3,1,0,1,,"2026-04-13 06:02:08"
71,HC-15,3,1,0,2,,"2026-04-13 06:02:08"
72,HC-16,3,1,0,2,,"2026-04-10 01:45:17"
73,HC-17,3,1,0,2,,"2026-04-11 18:32:42"
74,HC-18,3,1,0,2,,"2026-04-11 18:38:28"
75,HC-19,3,1,0,2,,"2026-04-12 11:58:18"
76,HC-20,3,1,0,2,,"2026-04-11 04:53:01"
77,HC-21,3,1,0,2,,"2026-04-12 11:27:26"
78,HC-22,3,1,0,2,,"2026-04-12 11:35:23"
79,HC-23,3,1,0,2,,"2026-04-06 15:15:06"
80,HC-24,3,1,0,1,,"2026-04-12 02:35:14"
81,HC-25,3,1,0,2,,"2026-04-02 23:51:25"
82,HC-26,3,1,0,1,,"2026-04-12 02:35:54"
83,HC-27,3,1,0,1,,"2026-04-30 09:45:25"
84,HC-28,3,1,0,2,,"2026-04-07 19:07:36"
85,HC-29,3,1,0,2,,"2026-04-10 13:27:13"
86,HC-30,3,1,0,1,,"2026-04-13 08:00:45"
87,HC-31,3,1,0,2,,"2026-04-13 02:41:36"
88,HC-32,3,1,0,1,,"2026-04-11 19:02:38"
89,HC-33,3,1,0,1,,"2026-04-12 18:07:37"
90,HC-34,3,1,0,2,,"2026-04-09 00:36:01"
91,HC-35,3,1,0,1,,"2026-04-12 18:08:20"
92,HC-36,3,1,0,1,,"2026-04-30 10:27:30"
93,HC-37,3,1,0,1,,
94,HC-38,3,1,0,1,,
95,HC-39,3,1,0,1,,
96,HC-40,3,1,0,1,,
97,HC-41,3,1,0,1,,
98,HC-42,3,1,0,1,,
99,HC-43,3,1,0,1,,
100,HC-44,3,1,0,1,,
101,HC-45,3,1,0,1,,
102,HC-46,3,1,0,1,,
103,HC-47,3,1,0,1,,
104,HC-48,3,1,0,1,,
105,HC-49,3,1,0,1,,
106,HC-50,3,1,0,1,,"2025-11-20 17:56:45"
107,HC-51,3,1,0,1,,
108,HC-52,3,1,0,1,,
109,HC-53,3,1,0,1,,
110,HC-54,3,1,0,1,,
111,HC-55,3,1,0,1,,
112,HC-56,3,1,0,1,,
113,HC-57,3,1,0,2,,"2026-04-10 16:40:22"
114,HC-58,3,1,0,1,,
115,HC-59,3,1,0,1,,
116,HC-60,3,1,0,1,,"2026-04-09 20:50:02"
117,HC-61,3,1,0,1,,"2026-04-12 18:09:19"
118,HC-62,3,1,0,2,,"2026-04-12 02:24:14"
119,HC-63,3,1,0,1,,
120,HC-64,3,1,0,1,,"2026-04-07 05:35:52"
121,HC-65,3,1,0,1,,"2026-04-08 21:56:46"
122,HC-66,3,1,0,1,,"2026-04-08 21:57:05"
123,HC-67,3,1,0,1,,"2026-04-03 19:25:17"
124,HC-68,3,1,0,1,,
125,HC-69,3,1,0,1,,"2026-03-15 18:34:42"
126,HC-70,3,1,0,1,,"2026-03-17 13:07:53"
127,HC-71,3,1,0,1,,"2026-04-01 22:12:23"
128,HC-72,3,1,0,1,,"2026-03-28 18:12:07"
129,HC-73,3,1,0,1,,"2026-03-30 16:37:22"
130,HC-74,3,1,0,1,,"2026-03-29 18:31:53"
131,HC-75,3,1,0,1,,
132,HC-76,3,1,0,1,,"2026-03-05 09:21:19"
133,HMI-01,4,1,0,1,,
134,HMI-02,4,1,0,1,,"2026-02-10 14:11:23"
135,HMI-03,4,1,0,1,,
136,HMI-04,4,1,0,1,,"2025-11-21 10:27:29"
137,HMI-05,4,1,0,1,,
138,HMI-06,4,1,0,1,,"2025-11-03 15:52:07"
139,HMI-07,4,1,0,1,,"2026-03-10 21:55:16"
140,HMI-08,4,1,0,1,,
141,HMI-09,4,1,0,1,,
142,HMI-10,4,1,0,1,,
143,HMI-11,4,1,0,1,,
144,HMI-12,4,1,0,1,,
145,HMI-13,4,1,0,1,,
146,HMI-14,4,1,0,1,,
147,HMI-15,4,1,0,1,,"2025-11-21 14:38:50"
148,HMI-16,4,1,0,1,,
149,HMI-17,4,1,0,1,,
150,HMI-18,4,1,0,1,,
151,HMI-19,4,1,0,1,,
152,HMI-20,4,1,0,1,,
153,HMI-21,4,1,0,1,,
154,HMI-22,4,1,0,1,,
155,HMI-23,4,1,0,1,,
156,HMI-24,4,1,0,1,,
157,HMI-25,4,1,0,1,,
158,HMI-26,4,1,0,1,,
159,HMI-27,4,1,0,1,,
160,HMI-28,4,1,0,1,,
161,HMI-29,4,1,0,1,,
162,HMI-30,4,1,0,1,,
163,HMI-31,4,1,0,1,,
164,HMI-32,4,1,0,1,,
165,HMI-33,4,1,0,1,,
166,HMI-34,4,1,0,1,,
167,HMI-35,4,1,0,1,,
168,HMI-36,4,1,0,1,,
169,HMI-37,4,1,0,1,,
170,HMI-38,4,1,0,1,,
171,HMI-39,4,1,0,1,,
172,HMI-40,4,1,0,1,,
173,HMI-41,4,1,0,1,,"2025-11-21 14:42:54"
174,HMI-42,4,1,0,1,,
175,HMI-43,4,1,0,1,,
176,HMI-44,4,1,0,1,,
177,HMI-45,4,1,0,1,,
178,HMI-46,4,1,0,1,,
179,HMI-47,4,1,0,1,,
180,HMI-48,4,1,0,1,,
181,HMI-49,4,1,0,1,,
182,HMI-50,4,1,0,1,,
183,HMI-51,4,1,0,1,,
184,HMI-52,4,1,0,1,,
185,HMI-53,4,1,0,1,,
186,HMI-54,4,1,0,1,,
187,HMI-55,4,1,0,1,,"2026-04-03 04:46:51"
188,HMI-56,4,1,0,2,,"2026-04-10 12:16:38"
189,HMI-57,4,1,0,2,,"2026-04-11 11:39:47"
190,HMI-58,4,1,0,1,,"2026-04-04 06:37:13"
191,HMI-59,4,1,0,2,,"2026-04-08 00:11:37"
192,HMI-60,4,1,0,1,,"2026-04-03 21:46:09"
193,HMI-61,4,1,0,1,,"2026-04-11 08:37:58"
194,HMI-62,4,1,0,2,,"2026-04-12 01:56:02"
195,HMI-63,4,1,0,2,,"2026-04-12 13:52:37"
196,HMI-64,4,1,0,2,,"2026-04-12 15:14:01"
197,HMI-65,4,1,0,1,,"2026-04-06 15:09:40"
198,HMI-66,4,1,0,2,,"2026-04-11 04:35:17"
199,HMI-67,4,1,0,1,,
200,HMI-68,4,1,0,1,,
201,HMI-69,4,1,0,1,,
202,HMI-70,4,1,0,1,,
203,HMI-71,4,1,0,1,,
204,HMI-72,4,1,0,1,,
205,HMI-73,4,1,0,1,,
206,HMI-74,4,1,0,1,,
207,HMI-75,4,1,0,1,,
208,HMI-76,4,1,0,1,,
209,HMI-77,4,1,0,1,,
210,HMI-78,4,1,0,1,,
211,HMI-79,4,1,0,1,,
